Total_interspersed_repeats_percentage_of_sequence	masked_proportion	masked_base	CRE/SLACS_number_of_elements	CRE/SLACS_length_occupied	CRE/SLACS_percentage_of_sequence	L2/CR1/Rex_number_of_elements	L2/CR1/Rex_length_occupied	L2/CR1/Rex_percentage_of_sequence	R1/LOA/Jockey_number_of_elements	R1/LOA/Jockey_length_occupied	R1/LOA/Jockey_percentage_of_sequence	R2/R4/NeSL_number_of_elements	R2/R4/NeSL_length_occupied	R2/R4/NeSL_percentage_of_sequence	RTE/Bov-B_number_of_elements	RTE/Bov-B_length_occupied	RTE/Bov-B_percentage_of_sequence	L1/CIN4_number_of_elements	L1/CIN4_length_occupied	L1/CIN4_percentage_of_sequence	BEL/Pao_number_of_elements	BEL/Pao_length_occupied	BEL/Pao_percentage_of_sequence	Ty1/Copia_number_of_elements	Ty1/Copia_length_occupied	Ty1/Copia_percentage_of_sequence	Gypsy/DIRS1_number_of_elements	Gypsy/DIRS1_length_occupied	Gypsy/DIRS1_percentage_of_sequence	Retroviral_number_of_elements	Retroviral_length_occupied	Retroviral_percentage_of_sequence	hobo-Activator_number_of_elements	hobo-Activator_length_occupied	hobo-Activator_percentage_of_sequence	Tc1-IS630-Pogo_number_of_elements	Tc1-IS630-Pogo_length_occupied	Tc1-IS630-Pogo_percentage_of_sequence	En-Spm_number_of_elements	En-Spm_length_occupied	En-Spm_percentage_of_sequence	MULE-MuDR_number_of_elements	MULE-MuDR_length_occupied	MULE-MuDR_percentage_of_sequence	PiggyBac_number_of_elements	PiggyBac_length_occupied	PiggyBac_percentage_of_sequence	Tourist/Harbinger_number_of_elements	Tourist/Harbinger_length_occupied	Tourist/Harbinger_percentage_of_sequence	Alu/B1_number_of_elements	Alu/B1_length_occupied	Alu/B1_percentage_of_sequence	MIRs_number_of_elements	MIRs_length_occupied	MIRs_percentage_of_sequence	LINE1_number_of_elements	LINE1_length_occupied	LINE1_percentage_of_sequence	LINE2_number_of_elements	LINE2_length_occupied	LINE2_percentage_of_sequence	L3/CR1_number_of_elements	L3/CR1_length_occupied	L3/CR1_percentage_of_sequence	RTE_number_of_elements	RTE_length_occupied	RTE_percentage_of_sequence	ERVL_number_of_elements	ERVL_length_occupied	ERVL_percentage_of_sequence	ERVL-MaLRs_number_of_elements	ERVL-MaLRs_length_occupied	ERVL-MaLRs_percentage_of_sequence	ERV_classI_number_of_elements	ERV_classI_length_occupied	ERV_classI_percentage_of_sequence	ERV_classII_number_of_elements	ERV_classII_length_occupied	ERV_classII_percentage_of_sequence	hAT-Charlie_number_of_elements	hAT-Charlie_length_occupied	hAT-Charlie_percentage_of_sequence	TcMar-Tigger_number_of_elements	TcMar-Tigger_length_occupied	TcMar-Tigger_percentage_of_sequence	ALUs_number_of_elements	ALUs_length_occupied	ALUs_percentage_of_sequence	B2-B4_number_of_elements	B2-B4_length_occupied	B2-B4_percentage_of_sequence	IDs_number_of_elements	IDs_length_occupied	IDs_percentage_of_sequence
0.1741	0.1922	156676233	0	0	0	47716	10195330	0.0125	1323	626960	8.00E-04	2279	608500	7.00E-04	6452	2062806	0.0025	1213	472477	6.00E-04	396	131030	2.00E-04	140	76131	1.00E-04	1497	1129929	0.0014	315	145291	2.00E-04	184082	43359007	0.0532	174146	33424036	0.041	0	0	0	1397	340356	4.00E-04	3057	621643	8.00E-04	30683	8146573	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1764	0.1943	155733075	0	0	0	49587	10832677	0.0135	1827	877208	0.0011	2275	596302	7.00E-04	5106	1612157	0.002	1259	663705	8.00E-04	74	30716	0	1241	189413	2.00E-04	5446	1830102	0.0023	226	161937	2.00E-04	174479	41153939	0.0513	174292	33606548	0.0419	0	0	0	1989	573677	7.00E-04	887	330083	4.00E-04	28481	7886585	0.0098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2086	0.226	165370781	0	0	0	49753	11745613	0.0161	2317	1193136	0.0016	1719	613963	8.00E-04	11409	3615599	0.0049	897	241373	3.00E-04	772	222793	3.00E-04	186	127390	2.00E-04	2630	1237567	0.0017	0	0	0	180919	50008661	0.0684	164063	33261131	0.0455	0	0	0	764	178614	2.00E-04	876	200447	3.00E-04	28477	7880381	0.0108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3227	0.3361	610427503	0	0	0	391400	104869543	0.0577	0	0	0	19680	6872548	0.0038	267329	92369079	0.0509	33022	15747905	0.0087	2435	630510	3.00E-04	5997	2620726	0.0014	55383	32121914	0.0177	3127	1241987	7.00E-04	409088	73807137	0.0406	246228	69390478	0.0382	0	0	0	736	167918	1.00E-04	3351	669767	4.00E-04	57517	7402672	0.0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.182	0.1969	163462528	0	0	0	67985	17557020	0.0211	457	111464	1.00E-04	6466	2020123	0.0024	21142	5845015	0.007	6449	2256968	0.0027	109	123314	1.00E-04	88	79679	1.00E-04	5649	2598310	0.0031	4451	1617623	0.0019	121846	35088214	0.0423	130656	36224212	0.0436	0	0	0	272	91742	1.00E-04	10228	2507957	0.003	15501	3769020	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3313	0.3664	970237970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220389	24202233	0.0091	8707	920102	3.00E-04	492822	525772666	0.1986	3328	495118	2.00E-04	938	170585	1.00E-04	0	0	0	41767	15136192	0.0057	260894	78525938	0.0297	74612	23584613	0.0089	57853	11848646	0.0045	46930	9467803	0.0036	5507	1284454	5.00E-04	0	0	0	391141	64276946	0.0243	137403	11823470	0.0045
0.2667	0.2854	592372960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365264	56079395	0.027	351136	280941596	0.1353	240215	68611246	0.0331	27867	6573711	0.0032	6590	1652529	8.00E-04	62861	28822307	0.0139	108594	39260350	0.0189	22990	9253305	0.0045	0	0	0	141477	29022757	0.014	20352	5488501	0.0026	0	0	0	0	0	0	0	0	0
0.428	0.4546	1318242979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389255	59720268	0.0206	523918	457276278	0.1577	260396	74754318	0.0258	29465	6867720	0.0024	0	0	0	88526	46634599	0.0161	216192	94512352	0.0326	111475	77297678	0.0267	10863	11002178	0.0038	165604	35381827	0.0122	0	0	0	1240365	322679179	0.1113	0	0	0	0	0	0
0.0355	0.049	595151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	358374	0.0295	45	22470	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5114	0.5628	1551541077	0	0	0	515037	291479061	0.1057	15911	7282516	0.0026	1848	491632	2.00E-04	103578	45436099	0.0165	16534	9602705	0.0035	3251	3592934	0.0013	74125	42907623	0.0156	136238	85601877	0.0311	34345	23871283	0.0087	502698	147148657	0.0534	682336	347642542	0.1261	0	0	0	134	293959	1.00E-04	37360	10943962	0.004	129614	21702114	0.0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
