Total_interspersed_repeats_percentage_of_sequence	masked_proportion	masked_base	CRE/SLACS_number_of_elements	CRE/SLACS_length_occupied	CRE/SLACS_percentage_of_sequence	L2/CR1/Rex_number_of_elements	L2/CR1/Rex_length_occupied	L2/CR1/Rex_percentage_of_sequence	R1/LOA/Jockey_number_of_elements	R1/LOA/Jockey_length_occupied	R1/LOA/Jockey_percentage_of_sequence	R2/R4/NeSL_number_of_elements	R2/R4/NeSL_length_occupied	R2/R4/NeSL_percentage_of_sequence	RTE/Bov-B_number_of_elements	RTE/Bov-B_length_occupied	RTE/Bov-B_percentage_of_sequence	L1/CIN4_number_of_elements	L1/CIN4_length_occupied	L1/CIN4_percentage_of_sequence	BEL/Pao_number_of_elements	BEL/Pao_length_occupied	BEL/Pao_percentage_of_sequence	Ty1/Copia_number_of_elements	Ty1/Copia_length_occupied	Ty1/Copia_percentage_of_sequence	Gypsy/DIRS1_number_of_elements	Gypsy/DIRS1_length_occupied	Gypsy/DIRS1_percentage_of_sequence	Retroviral_number_of_elements	Retroviral_length_occupied	Retroviral_percentage_of_sequence	hobo-Activator_number_of_elements	hobo-Activator_length_occupied	hobo-Activator_percentage_of_sequence	Tc1-IS630-Pogo_number_of_elements	Tc1-IS630-Pogo_length_occupied	Tc1-IS630-Pogo_percentage_of_sequence	En-Spm_number_of_elements	En-Spm_length_occupied	En-Spm_percentage_of_sequence	MULE-MuDR_number_of_elements	MULE-MuDR_length_occupied	MULE-MuDR_percentage_of_sequence	PiggyBac_number_of_elements	PiggyBac_length_occupied	PiggyBac_percentage_of_sequence	Tourist/Harbinger_number_of_elements	Tourist/Harbinger_length_occupied	Tourist/Harbinger_percentage_of_sequence	Alu/B1_number_of_elements	Alu/B1_length_occupied	Alu/B1_percentage_of_sequence	MIRs_number_of_elements	MIRs_length_occupied	MIRs_percentage_of_sequence	LINE1_number_of_elements	LINE1_length_occupied	LINE1_percentage_of_sequence	LINE2_number_of_elements	LINE2_length_occupied	LINE2_percentage_of_sequence	L3/CR1_number_of_elements	L3/CR1_length_occupied	L3/CR1_percentage_of_sequence	RTE_number_of_elements	RTE_length_occupied	RTE_percentage_of_sequence	ERVL_number_of_elements	ERVL_length_occupied	ERVL_percentage_of_sequence	ERVL-MaLRs_number_of_elements	ERVL-MaLRs_length_occupied	ERVL-MaLRs_percentage_of_sequence	ERV_classI_number_of_elements	ERV_classI_length_occupied	ERV_classI_percentage_of_sequence	ERV_classII_number_of_elements	ERV_classII_length_occupied	ERV_classII_percentage_of_sequence	hAT-Charlie_number_of_elements	hAT-Charlie_length_occupied	hAT-Charlie_percentage_of_sequence	TcMar-Tigger_number_of_elements	TcMar-Tigger_length_occupied	TcMar-Tigger_percentage_of_sequence	ALUs_number_of_elements	ALUs_length_occupied	ALUs_percentage_of_sequence	B2-B4_number_of_elements	B2-B4_length_occupied	B2-B4_percentage_of_sequence	IDs_number_of_elements	IDs_length_occupied	IDs_percentage_of_sequence
0.2041	0.2304	228443367	0	0	0	73215	16044954	0.0162	0	0	0	1141	517174	5.00E-04	12488	3731745	0.0038	2041	1079321	0.0011	148	30700	0	523	206952	2.00E-04	7100	2246527	0.0023	6500	1684927	0.0017	153679	36014838	0.0363	170158	41917976	0.0423	0	0	0	828	217278	2.00E-04	18322	4735225	0.0048	21094	4860894	0.0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3337	0.3493	853590152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371615	56363132	0.0231	521374	387595616	0.1586	250122	71625374	0.0293	28881	6740972	0.0028	6665	1666569	7.00E-04	75438	35687245	0.0146	124543	44624073	0.0183	42977	19877268	0.0081	1090	500795	2.00E-04	149404	30744564	0.0126	35213	12573832	0.0051	0	0	0	0	0	0	0	0	0
0.2504	0.2747	232098244	0	0	0	93106	26427033	0.0313	567	85441	1.00E-04	9650	4177967	0.0049	38707	13373638	0.0158	10114	2964330	0.0035	1729	1093584	0.0013	616	197247	2.00E-04	5093	2504380	0.003	2037	1249514	0.0015	133896	34198981	0.0405	189568	58225619	0.0689	0	0	0	892	169401	2.00E-04	11363	2851705	0.0034	23528	6149236	0.0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2996	0.337	296799728	0	0	0	73815	28292541	0.0321	1795	924559	0.001	1280	578331	7.00E-04	7905	3413841	0.0039	2966	3415471	0.0039	750	390966	4.00E-04	827	332617	4.00E-04	3613	2491505	0.0028	3895	1114847	0.0013	149607	54514619	0.0619	152792	57610532	0.0654	0	0	0	877	262063	3.00E-04	21004	12520043	0.0142	17917	5352621	0.0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3234	0.3607	327866565	0	0	0	90282	41006586	0.0451	1758	941770	0.001	5710	2770274	0.003	6371	2994445	0.0033	5469	5075811	0.0056	3537	3197504	0.0035	0	0	0	5590	6693583	0.0074	902	1049400	0.0012	142676	53985846	0.0594	159374	55379499	0.0609	0	0	0	1501	584908	6.00E-04	22066	12590934	0.0139	17419	5230163	0.0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1115	0.1339	162330281	0	0	0	133445	63572307	0.0525	0	0	0	0	0	0	3343	3508533	0.0029	34	9618	0	0	0	0	0	0	0	15	1896	0	45090	31312273	0.0258	1306	266434	2.00E-04	287	58044	0	0	0	0	0	0	0	0	0	0	3349	428082	4.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4217	0.4568	821776446	0	0	0	552208	148263910	0.0824	0	0	0	57484	19979313	0.0111	118101	41496010	0.0231	45569	29161186	0.0162	4201	6985216	0.0039	12940	6378231	0.0035	50691	66136935	0.0368	6558	8157313	0.0045	751272	134571748	0.0748	443259	88437921	0.0492	0	0	0	0	0	0	0	0	0	134164	18077731	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0562	0.0723	81775516	0	0	0	124037	46473161	0.0411	0	0	0	0	0	0	246	224207	2.00E-04	39	10691	0	0	0	0	0	0	0	422	92097	1.00E-04	25318	11163932	0.0099	1648	358173	3.00E-04	293	60297	1.00E-04	0	0	0	0	0	0	0	0	0	5015	658469	6.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1149	0.1564	18717662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1066	1009695	0.0084	0	0	0	1342	1636538	0.0137	2759	5987247	0.05	0	0	0	919	431897	0.0036	723	204640	0.0017	0	0	0	3157	2957958	0.0247	0	0	0	300	140730	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3206	0.3413	300518561	0	0	0	98667	44794085	0.0509	761	174936	2.00E-04	10601	6558234	0.0074	23008	8440745	0.0096	14647	11433258	0.013	1459	1886741	0.0021	1556	685753	8.00E-04	14783	11382822	0.0129	10771	8260291	0.0094	163642	64305331	0.073	145183	50363059	0.0572	0	0	0	221	184628	2.00E-04	15435	4889221	0.0056	19559	6920390	0.0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4124	0.4678	624691457	0	0	0	98516	34638761	0.0259	1128	559003	4.00E-04	1876	1211209	9.00E-04	8072	3226597	0.0024	18104	5186779	0.0039	391	524598	4.00E-04	2708	1274490	0.001	33138	21288505	0.0159	3111	3090910	0.0023	459027	111259302	0.0833	719525	177870506	0.1332	0	0	0	9698	3044073	0.0023	32402	7877987	0.0059	181579	36260281	0.0272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1597	0.1995	88034546	0	0	0	22345	10034308	0.0227	446	142944	3.00E-04	3936	3673895	0.0083	7902	5025703	0.0114	4316	4165368	0.0094	865	2348654	0.0053	97	67288	2.00E-04	12819	7946842	0.018	9304	8154750	0.0185	16106	5088686	0.0115	7933	2404129	0.0054	0	0	0	0	0	0	10220	2640295	0.006	3889	1559025	0.0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4051	0.418	1184054558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326307	47056053	0.0166	539303	317498863	0.1121	207870	53103045	0.0187	24345	5139932	0.0018	464286	340712821	0.1203	58060	23160720	0.0082	102559	33200599	0.0117	28786	10472137	0.0037	81816	11462260	0.004	126728	24379535	0.0086	31927	9635785	0.0034	0	0	0	0	0	0	0	0	0
0.367	0.378	999926138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299590	43461684	0.0164	503115	272581916	0.103	189773	49340188	0.0187	22540	4805750	0.0018	449373	250021366	0.0945	53740	21893224	0.0083	94504	31043096	0.0117	26898	9613889	0.0036	51509	6583090	0.0025	117806	22856500	0.0086	29908	9123102	0.0034	0	0	0	0	0	0	0	0	0
0.4209	0.4489	1219114454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299405	43589386	0.016	509696	312963210	0.1152	189204	49717883	0.0183	22528	4826191	0.0018	430929	334403339	0.1231	55313	22321815	0.0082	93536	31108593	0.0115	73996	33830089	0.0125	107350	18409989	0.0068	117002	22874760	0.0084	29565	9191693	0.0034	0	0	0	0	0	0	0	0	0
0.4295	0.4455	1260768833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349337	52853993	0.0187	515802	524278787	0.1853	227865	64319054	0.0227	25934	5885618	0.0021	0	0	0	77876	41146960	0.0145	193356	82323517	0.0291	94973	56218349	0.0199	4215	2796429	0.001	148069	31318791	0.0111	0	0	0	1171259	306360224	0.1083	0	0	0	0	0	0
0.2595	0.276	594676961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369649	56432969	0.0262	418628	284904913	0.1322	242013	69320080	0.0322	28335	6643658	0.0031	6588	1634245	8.00E-04	64990	29748564	0.0138	113383	40650929	0.0189	31362	12331301	0.0057	0	0	0	142289	29538446	0.0137	35211	11439748	0.0053	0	0	0	0	0	0	0	0	0
0.3403	0.3632	870531537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324061	48764412	0.0203	456362	370306655	0.1545	217821	61422049	0.0256	25293	5800336	0.0024	5772	1384448	6.00E-04	65349	30952320	0.0129	110142	39251525	0.0164	40891	19991956	0.0083	0	0	0	133372	27467666	0.0115	31741	11413631	0.0048	0	0	0	0	0	0	0	0	0
0.3787	0.4585	1340091361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292799	42453043	0.0145	482197	305047204	0.1044	183663	47810518	0.0164	22939	4728919	0.0016	455065	353733816	0.121	52151	21370792	0.0073	92100	30403190	0.0104	28190	9953830	0.0034	93877	17633405	0.006	114390	22274209	0.0076	29043	8968099	0.0031	0	0	0	0	0	0	0	0	0
0.3436	0.4034	734502991	0	0	0	156219	73411680	0.0403	4402	2212628	0.0012	2072	1637271	9.00E-04	9380	3577300	0.002	2322	1441201	8.00E-04	1374	2865276	0.0016	0	0	0	83776	69902684	0.0384	16200	15519055	0.0085	476779	129474257	0.0711	222894	62172213	0.0341	0	0	0	7874	1886764	0.001	29409	9055728	0.005	191352	43337945	0.0238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2796	0.2955	744194525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127097	12690298	0.005	57124	7577449	0.003	530934	440051703	0.1747	30798	8100116	0.0032	3028	634409	3.00E-04	0	0	0	42447	17390803	0.0069	121241	35745854	0.0142	113604	49952346	0.0198	111978	25812274	0.0102	61595	12833059	0.0051	26359	7417789	0.0029	0	0	0	565635	97230275	0.0386	0	0	0
0.3734	0.3885	1058089205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516614	79295157	0.0291	32668	4192356	0.0015	1237820	611915606	0.2247	15384	3043325	0.0011	1800	365811	1.00E-04	0	0	0	55659	22783488	0.0084	264032	84005597	0.0308	132137	66604410	0.0245	147671	39002014	0.0143	46060	10043175	0.0037	46880	11682886	0.0043	0	0	0	43100	4205243	0.0015	270311	27244816	0.01
0.4158	0.4396	1252145095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386975	59494633	0.0209	481517	423731559	0.1488	258803	74677196	0.0262	29181	6871370	0.0024	0	0	0	86566	46311651	0.0163	211927	93647585	0.0329	101451	72379811	0.0254	8576	9043301	0.0032	163314	35132304	0.0123	0	0	0	1166063	308696584	0.1084	0	0	0	0	0	0
0.223	0.2388	570854516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509689	70517953	0.0295	39481	5138610	0.0021	389937	273264704	0.1143	19450	4681627	0.002	2345	480191	2.00E-04	0	0	0	35317	14953701	0.0063	222734	77593446	0.0325	27384	10047225	0.0042	127368	33174993	0.0139	45302	9683297	0.0041	33292	9501930	0.004	0	0	0	14542	834157	3.00E-04	285563	25389863	0.0106
0.4218	0.4434	1236935471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386261	59366893	0.0213	483352	425655852	0.1526	258419	74596303	0.0267	29332	6882220	0.0025	0	0	0	86765	46107659	0.0165	213701	93748702	0.0336	102766	72759317	0.0261	8830	9000301	0.0032	163510	35043170	0.0126	0	0	0	1137416	299163471	0.1072	0	0	0	0	0	0
0.1171	0.1315	15153876	0	0	0	3084	502742	0.0044	33	17917	2.00E-04	69	33618	3.00E-04	0	0	0	3697	362465	0.0031	0	0	0	0	0	0	143	52982	5.00E-04	0	0	0	3086	840591	0.0073	34176	5819142	0.0505	0	0	0	0	0	0	321	130062	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0734	0.0935	86724099	0	0	0	172066	50310627	0.0542	0	0	0	0	0	0	0	0	0	33	8195	0	0	0	0	0	0	0	9	1114	0	24080	9589553	0.0103	7079	2476660	0.0027	5521	1993489	0.0021	0	0	0	0	0	0	0	0	0	1357	151246	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0694	0.0846	100471743	0	0	0	129124	40886926	0.0344	527	494708	4.00E-04	0	0	0	0	0	0	38	9110	0	0	0	0	0	0	0	10	1312	0	54129	34088180	0.0287	4897	2968401	0.0025	226	44721	0	0	0	0	0	0	0	0	0	0	1654	172064	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1735	0.2196	125783546	0	0	0	82263	27428458	0.0479	2708	539979	9.00E-04	113	175485	3.00E-04	13383	5745852	0.01	7083	1221587	0.0021	1453	1233005	0.0022	3182	994199	0.0017	16108	6090551	0.0106	1338	1243267	0.0022	60545	10963556	0.0191	6915	1847439	0.0032	0	0	0	108	47904	1.00E-04	2381	488520	9.00E-04	9235	2245392	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0913	0.1269	59683437	106	15185	0	11838	1959881	0.0042	356	25436	1.00E-04	258	141069	3.00E-04	14057	3855393	0.0082	0	0	0	0	0	0	0	0	0	1342	426679	9.00E-04	1720	799931	0.0017	121760	20154116	0.0429	31346	6435397	0.0137	0	0	0	1283	159311	3.00E-04	1241	278550	6.00E-04	2324	408737	9.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2742	0.2861	296178446	0	0	0	149618	38395788	0.0371	5058	1823310	0.0018	4227	1451429	0.0014	14002	4782921	0.0046	7598	2897283	0.0028	151	157408	2.00E-04	287	65803	1.00E-04	23577	9586256	0.0093	7031	2195944	0.0021	257217	66822522	0.0646	106632	24967429	0.0241	0	0	0	7277	2102322	0.002	2962	860609	8.00E-04	56564	15943577	0.0154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3303	0.3923	572841327	0	0	0	84501	48123904	0.033	2254	1432851	0.001	2007	307927	2.00E-04	1480	1012735	7.00E-04	1546	1169969	8.00E-04	5053	1178330	8.00E-04	0	0	0	59200	41410373	0.0284	6732	6808907	0.0047	473666	101995353	0.0698	218395	74369323	0.0509	0	0	0	5688	1099452	8.00E-04	29294	10503089	0.0072	199860	44330156	0.0304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5336	0.5943	816259866	0	0	0	66097	27497215	0.02	6314	2716402	0.002	417	221579	2.00E-04	7403	3510670	0.0026	27039	10838888	0.0079	4448	3528342	0.0026	189	175705	1.00E-04	53454	43531814	0.0317	29377	11875204	0.0086	636698	157616251	0.1148	202712	68787228	0.0501	0	0	0	36889	5415266	0.0039	22421	7031692	0.0051	154603	56812816	0.0414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1886	0.224	155906942	0	0	0	62551	19359687	0.0278	363	61110	1.00E-04	274	245258	4.00E-04	3598	1196418	0.0017	803	249939	4.00E-04	266	40289	1.00E-04	323	53702	1.00E-04	26791	7320702	0.0105	219	109347	2.00E-04	201267	36166925	0.052	18902	4655225	0.0067	0	0	0	303	71778	1.00E-04	750	255383	4.00E-04	18076	3679343	0.0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0372	0.0467	55735623	0	0	0	59919	28966306	0.0243	0	0	0	0	0	0	0	0	0	48	13862	0	193	79617	1.00E-04	0	0	0	492	183661	2.00E-04	3779	2357883	0.002	3312	866446	7.00E-04	590	350536	3.00E-04	0	0	0	0	0	0	0	0	0	13539	2288800	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1562	0.2041	29331739	0	0	0	775	834728	0.0058	975	1548475	0.0108	38	39896	3.00E-04	0	0	0	0	0	0	1979	3024797	0.021	443	664292	0.0046	6797	10485145	0.073	0	0	0	171	71118	5.00E-04	1086	606923	0.0042	0	0	0	0	0	0	22	8502	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.368	0.387	970251326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465932	73491123	0.0293	449078	416824409	0.1663	324581	99958934	0.0399	36933	9219759	0.0037	9866	3072925	0.0012	93378	49041936	0.0196	150554	58085191	0.0232	70865	44629690	0.0178	2075	1622291	6.00E-04	184454	39547820	0.0158	56153	11987042	0.0048	0	0	0	0	0	0	0	0	0
0.3645	0.3964	372994215	0	0	0	107919	39464915	0.0419	747	441651	5.00E-04	1654	383240	4.00E-04	41119	24652149	0.0262	2604	622990	7.00E-04	98	16576	0	401	79921	1.00E-04	21548	14367608	0.0153	25860	17226721	0.0183	125521	32308703	0.0343	358238	137484484	0.1461	0	0	0	0	0	0	10177	3308085	0.0035	31069	6985621	0.0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3468	0.3719	937972691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351915	53200293	0.0211	455588	383450083	0.1521	234860	66941509	0.0265	27306	6310430	0.0025	6289	1539948	6.00E-04	68953	33117198	0.0131	115357	41519748	0.0165	45208	22270689	0.0088	795	649921	3.00E-04	139967	28456739	0.0113	33175	11734839	0.0047	0	0	0	0	0	0	0	0	0
0.0467	0.107	119710089	0	0	0	116051	32646878	0.0292	0	0	0	16	13025	0	0	0	0	35	8490	0	0	0	0	0	0	0	7	896	0	42926	18192045	0.0163	900	181064	2.00E-04	224	43838	0	0	0	0	0	0	0	0	0	0	1220	119327	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2309	0.2462	574590743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435960	60833943	0.0261	35023	4509122	0.0019	482258	333901771	0.1431	18123	4333078	0.0019	2241	458205	2.00E-04	0	0	0	32327	13092299	0.0056	148107	45662590	0.0196	32081	13495053	0.0058	93556	21264070	0.0091	43344	9125051	0.0039	29249	7448742	0.0032	0	0	0	16355	938911	4.00E-04	358321	28560997	0.0122
0.3261	0.3412	348638476	0	0	0	178771	50883413	0.0498	3775	1468836	0.0014	2178	821897	8.00E-04	23253	7322354	0.0072	14840	5641167	0.0055	130	45310	0	1507	306531	3.00E-04	9268	4696112	0.0046	4415	2607465	0.0026	220340	57551282	0.0563	334858	84559097	0.0827	0	0	0	3491	904669	9.00E-04	1451	537825	5.00E-04	41993	12370096	0.0121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3	0.365	244525459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0972	0.1223	128833013	0	0	0	191653	71345677	0.0677	0	0	0	0	0	0	0	0	0	31	8779	0	0	0	0	0	0	0	496	172794	2.00E-04	35173	20236354	0.0192	12343	4776354	0.0045	8145	3546926	0.0034	0	0	0	0	0	0	0	0	0	1924	216328	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1783	0.1931	160565950	0	0	0	70193	18151875	0.0218	311	136491	2.00E-04	6655	2026641	0.0024	21932	5884634	0.0071	6019	1990151	0.0024	397	184218	2.00E-04	919	293734	4.00E-04	5952	2551572	0.0031	5583	1794241	0.0022	121852	34033899	0.0409	133686	35131793	0.0423	0	0	0	0	0	0	9737	1898976	0.0023	16527	3661285	0.0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4137	0.454	1407412269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407935	63117897	0.0204	489997	483513250	0.156	274430	80240496	0.0259	31080	7405801	0.0024	0	0	0	91015	49212167	0.0159	220773	99166387	0.032	105806	82309898	0.0266	7650	9011713	0.0029	172647	37304293	0.012	0	0	0	1133636	306228507	0.0988	0	0	0	0	0	0
0.3647	0.4058	317819511	0	0	0	87916	23814829	0.0304	1546	512172	7.00E-04	620	207729	3.00E-04	11353	2506856	0.0032	8652	2098732	0.0027	4534	674155	9.00E-04	466	169823	2.00E-04	62218	22035641	0.0281	6595	3269535	0.0042	165055	38463524	0.0491	340806	94232308	0.1203	0	0	0	514	205750	3.00E-04	3264	835362	0.0011	44279	9337307	0.0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
