Species	class	label	shannon	equitability	PC1	PC2	IG_C_gene	IG_D_gene	IG_J_gene	IG_LV_gene	IG_V_gene	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	pre_miRNA	protein_coding	ribozyme	rRNA	scaRNA	scRNA	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_V_gene	transposable_element	tRNA	vault_RNA	Y_RNA	lncRNA	pseudogene	IG_C_gene_proportion	IG_D_gene_proportion	IG_J_gene_proportion	IG_LV_gene_proportion	IG_V_gene_proportion	miRNA_proportion	misc_RNA_proportion	Mt_rRNA_proportion	Mt_tRNA_proportion	ncRNA_proportion	pre_miRNA_proportion	protein_coding_proportion	ribozyme_proportion	rRNA_proportion	scaRNA_proportion	scRNA_proportion	snoRNA_proportion	snRNA_proportion	sRNA_proportion	TEC_proportion	TR_C_gene_proportion	TR_D_gene_proportion	TR_J_gene_proportion	TR_V_gene_proportion	transposable_element_proportion	tRNA_proportion	vault_RNA_proportion	Y_RNA_proportion	lncRNA_proportion	pseudogene_proportion	total_genes	type_of_genes
Oreochromis Niloticus	Actinopteri	Actinopteri	0.682436337	0.41300259	-0.020685639	-0.018540335	0	0	10	0	32	860	46	2	22	0	0	28142	3	799	7	0	186	467	0	0	0	0	5	0	0	0	2	1	2578	275	0	0	0.00029907	0	0.000957024	0.025720011	0.001375722	5.98E-05	0.000657954	0	0	0.841642492	8.97E-05	0.023895684	0.000209349	0	0.0055627	0.013966564	0	0	0	0	0.000149535	0	0	0	5.98E-05	2.99E-05	0.077100218	0.008224422	33437	17
Oryctolagus Cuniculus	Mammalia	Mammalia	0.98129615	0.593869097	0.162842875	-0.062238826	1	0	0	0	3	288	63	2	22	0	0	20599	7	31	32	0	835	1293	0	0	1	0	7	1	0	0	6	11	5729	656	3.38E-05	0	0	0	0.000101396	0.009734005	0.002129314	6.76E-05	0.00074357	0	0	0.696217934	0.00023659	0.001047757	0.001081556	0	0.028221854	0.043701626	0	0	3.38E-05	0	0.00023659	3.38E-05	0	0	0.000202792	0.000371785	0.193632339	0.0221719	29587	19
Oryzias Latipes	Actinopteri	Actinopteri	0.201131881	0.121722692	-0.169240442	-0.011185808	0	0	3	0	16	230	59	2	22	0	0	23600	3	63	8	0	189	99	41	0	0	0	3	0	0	0	0	0	0	27	0	0	0.000123127	0	0.00065668	0.00943977	0.002421506	8.21E-05	0.000902935	0	0	0.968602504	0.000123127	0.002585676	0.00032834	0	0.007757029	0.004063205	0.001682742	0	0	0	0.000123127	0	0	0	0	0	0	0.001108147	24365	15
Oryzias Melastigma	Actinopteri	Actinopteri	0.142939344	0.08650524	-0.1785909	-0.015909465	0	0	0	0	31	80	49	0	0	0	0	23510	4	70	9	0	182	47	9	0	0	0	2	0	0	0	0	0	0	26	0	0	0	0	0.001290645	0.003330697	0.002040052	0	0	0	0	0.978808443	0.000166535	0.002914359	0.000374703	0	0.007577335	0.001956784	0.000374703	0	0	0	8.33E-05	0	0	0	0	0	0	0.001082476	24019	12
Ovis Aries	Mammalia	Livestock animals	0.933058396	0.564676165	0.039997142	0.020851488	0	0	0	0	0	1305	361	2	22	0	0	20921	0	305	0	0	756	1234	0	0	0	0	0	0	0	0	0	0	1858	290	0	0	0	0	0	0.04823686	0.013343683	7.39E-05	0.000813188	0	0	0.773305241	0	0.011273749	0	0	0.027944112	0.045612479	0	0	0	0	0	0	0	0	0	0	0.06867746	0.010719302	27054	10
Pan Paniscus	Mammalia	Mammalia	1.20684044	0.730365896	0.10526599	0.079345341	28	0	0	0	70	1948	2004	2	22	0	0	21041	8	466	44	0	826	1690	0	0	9	0	0	62	0	0	0	0	1489	549	0.000925375	0	0	0	0.002313438	0.064379668	0.066230418	6.61E-05	0.00072708	0	0	0.695386344	0.000264393	0.015400886	0.001454161	0	0.027298566	0.055852998	0	0	0.000297442	0	0	0.002049045	0	0	0	0	0.049210126	0.018143962	30258	16
Pan Troglodytes	Mammalia	Mammalia	1.21677359	0.736377324	0.110527756	0.078156761	30	0	0	0	108	2241	2284	2	22	0	0	23302	8	547	47	0	878	1903	0	0	13	0	0	81	0	0	0	0	1778	485	0.000889442	0	0	0	0.003201992	0.066441341	0.067716209	5.93E-05	0.000652258	0	0	0.690859498	0.000237185	0.016217498	0.00139346	0	0.026031012	0.056420291	0	0	0.000385425	0	0	0.002401494	0	0	0	0	0.052714281	0.014379318	33729	16
Papio Anubis	Mammalia	Mammalia	1.315852728	0.796338874	0.173435645	0.058848014	3	0	0	0	75	443	3456	2	22	0	0	21731	4	111	44	0	1328	1850	0	0	6	0	17	50	0	0	7	683	3196	807	8.87E-05	0	0	0	0.00221664	0.013092951	0.102142752	5.91E-05	0.000650214	0	0	0.642263928	0.000118221	0.003280627	0.001300429	0	0.039249298	0.05467711	0	0	0.000177331	0	0.000502438	0.00147776	0	0	0.000206886	0.020186198	0.094458401	0.023851042	33835	19
Paramormyrops Kingsleyae	Actinopteri	Actinopteri	0.201719397	0.12207825	-0.16569641	-0.006079705	0	0	1	0	7	23	21	0	0	0	0	24782	3	493	6	0	160	153	1	0	0	0	2	0	0	0	0	0	0	40	0	0	3.89E-05	0	0.000272458	0.00089522	0.000817375	0	0	0	0	0.964580414	0.000116768	0.019188853	0.000233536	0	0.006227619	0.005955161	3.89E-05	0	0	0	7.78E-05	0	0	0	0	0	0	0.001556905	25692	13
Parus Major	Aves	Aves	0.701594725	0.424597025	0.122459365	-0.115354114	0	0	0	0	0	132	113	2	22	0	0	15003	2	27	17	0	188	29	0	0	0	0	0	0	0	0	0	0	4433	38	0	0	0	0	0	0.006598021	0.005648306	1.00E-04	0.00109967	0	0	0.749925022	1.00E-04	0.001349595	0.000849745	0	0.009397181	0.001449565	0	0	0	0	0	0	0	0	0	0	0.221583525	0.00189943	20006	12
Pelodiscus Sinensis	Reptilia	Reptilia	0.313668832	0.189828755	-0.143520425	0.002587441	0	0	0	0	0	516	36	2	22	0	0	18189	0	57	0	0	253	156	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0.02669702	0.001862583	0.000103477	0.001138245	0	0	0.94106995	0	0.002949089	0	0	0.013089818	0.008071192	0	0	0	0	0	0	0	0	0	0	0	0.005018626	19328	9
Petromyzon Marinus	Hyperoartia	Hyperoartia	0.718939592	0.435093938	-0.01140311	0.096905767	0	0	0	0	0	330	29	2	22	0	0	10415	0	1862	0	0	57	350	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0.025163947	0.002211377	0.000152509	0.001677596	0	0	0.794189416	0	0.141985664	0	0	0.0043465	0.026689035	0	0	0	0	0	0	0	0	0	0	0	0.003583956	13114	9
