Species	class	label	shannon	equitability	PC1	PC2	IG_C_gene	IG_D_gene	IG_J_gene	IG_LV_gene	IG_V_gene	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	pre_miRNA	protein_coding	ribozyme	rRNA	scaRNA	scRNA	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_V_gene	transposable_element	tRNA	vault_RNA	Y_RNA	lncRNA	pseudogene	IG_C_gene_proportion	IG_D_gene_proportion	IG_J_gene_proportion	IG_LV_gene_proportion	IG_V_gene_proportion	miRNA_proportion	misc_RNA_proportion	Mt_rRNA_proportion	Mt_tRNA_proportion	ncRNA_proportion	pre_miRNA_proportion	protein_coding_proportion	ribozyme_proportion	rRNA_proportion	scaRNA_proportion	scRNA_proportion	snoRNA_proportion	snRNA_proportion	sRNA_proportion	TEC_proportion	TR_C_gene_proportion	TR_D_gene_proportion	TR_J_gene_proportion	TR_V_gene_proportion	transposable_element_proportion	tRNA_proportion	vault_RNA_proportion	Y_RNA_proportion	lncRNA_proportion	pseudogene_proportion	total_genes	type_of_genes
Acanthochromis Polyacanthus	Actinopteri	Actinopteri	0.143925303	0.087101931	-0.177503516	-0.015612127	0	0	2	0	4	126	16	0	0	0	0	24016	3	38	12	0	248	58	8	0	0	0	5	0	0	0	0	0	0	29	0	0	8.14E-05	0	0.000162833	0.005129249	0.000651333	0	0	0	0	0.97765113	0.000122125	0.001546916	0.0004885	0	0.010095665	0.002361083	0.000325667	0	0	0	0.000203542	0	0	0	0	0	0	0.001180541	24565	13
Ailuropoda Melanoleuca	Mammalia	Mammalia	0.669268025	0.405033279	-0.04551512	0.016803259	7	0	0	0	22	232	15	0	0	0	0	20820	8	19	27	0	635	1289	0	0	3	0	3	2	0	0	1	30	766	583	0.000286158	0	0	0	0.000899354	0.009484098	0.000613196	0	0	0	0	0.851116017	0.000327038	0.000776715	0.001103753	0	0.02595863	0.052693974	0	0	0.000122639	0	0.000122639	8.18E-05	0	0	4.09E-05	0.001226392	0.031313875	0.023832884	24462	17
Amphilophus Citrinellus	Actinopteri	Actinopteri	0.208297793	0.126059419	-0.166294042	-0.007595129	0	0	3	0	15	180	19	0	0	0	0	23675	3	324	9	0	199	42	6	0	0	0	3	0	0	0	0	0	0	50	0	0	0.000122309	0	0.000611546	0.007338552	0.000774625	0	0	0	0	0.965223418	0.000122309	0.013209393	0.000366928	0	0.008113177	0.001712329	0.000244618	0	0	0	0.000122309	0	0	0	0	0	0	0.002038487	24528	13
Amphiprion Ocellaris	Actinopteri	Actinopteri	0.278004611	0.16824518	-0.153238358	0.000497359	0	0	3	0	32	117	17	2	22	0	0	23555	3	530	16	0	230	201	6	0	0	0	2	0	0	0	0	0	0	37	0	0	0.0001211	0	0.001291729	0.004722884	0.000686231	8.07E-05	0.000888064	0	0	0.950833569	0.0001211	0.02139426	0.000645864	0	0.009284301	0.008113672	0.000242199	0	0	0	8.07E-05	0	0	0	0	0	0	0.001493562	24773	15
Amphiprion Percula	Actinopteri	Actinopteri	0.230430966	0.13945416	-0.162576504	-0.005249692	0	0	12	0	40	123	23	0	0	0	0	23872	3	407	12	0	221	81	5	0	0	0	2	0	0	0	0	0	0	39	0	0	0.000483092	0	0.001610306	0.004951691	0.000925926	0	0	0	0	0.961030596	0.000120773	0.016384863	0.000483092	0	0.00889694	0.00326087	0.000201288	0	0	0	8.05E-05	0	0	0	0	0	0	0.001570048	24840	13
Anas Platyrhynchos	Aves	Livestock animals	0.447781335	0.270992092	-0.092900327	-0.020374893	0	0	0	0	0	124	5	0	0	0	0	16765	3	34	15	0	202	96	0	0	0	0	0	0	0	0	1	4	786	455	0	0	0	0	0	0.006706328	0.000270416	0	0	0	0	0.906706328	0.00016225	0.001838832	0.000811249	0	0.010924824	0.005191996	0	0	0	0	0	0	0	0	5.41E-05	0.000216333	0.042509465	0.024607896	18490	12
Anolis Carolinensis	Lepidosauria	Lepidosauria	0.702525686	0.425160431	0.024499689	-0.04785221	0	0	0	0	1	289	3	2	22	0	0	21554	3	125	14	0	192	265	0	0	0	0	0	0	0	0	8	2	3173	826	0	0	0	0	3.78E-05	0.010914309	0.000113297	7.55E-05	0.000830847	0	0	0.81400355	0.000113297	0.004720722	0.000528721	0	0.007251029	0.010007931	0	0	0	0	0	0	0	0	0.000302126	7.55E-05	0.119830809	0.031194532	26479	15
Arabidopsis Thaliana	Magnoliopsida	Magnoliopsida	0.613656583	0.371377877	-0.010041051	-0.054357392	0	0	0	0	0	325	0	0	0	299	0	27628	0	15	0	0	287	82	0	0	0	0	0	0	0	689	0	0	3508	0	0	0	0	0	0	0.009898578	0	0	0	0.009106691	0	0.841470472	0	0.000456857	0	0	0.008741205	0.002497487	0	0	0	0	0	0	0	0.020984985	0	0	0.106843724	0	32833	8
Astatotilapia Calliptera	Actinopteri	Actinopteri	0.217674776	0.13173426	-0.16469284	-0.007860065	0	0	4	0	27	410	43	0	0	0	0	26983	3	182	11	0	202	86	2	0	0	0	4	0	0	0	0	0	0	44	0	0	0.000142852	0	0.000964251	0.014642334	0.001535659	0	0	0	0	0.963644156	0.000107139	0.006499768	0.000392843	0	0.007214028	0.003071319	7.14E-05	0	0	0	0.000142852	0	0	0	0	0	0	0.001571372	28001	13
Astyanax Mexicanus	Actinopteri	Actinopteri	0.173979145	0.105290169	-0.172722014	-0.011787349	0	0	4	0	28	38	21	0	0	0	0	26662	7	246	10	0	234	123	1	0	0	0	4	0	0	0	0	0	0	42	0	0	0.000145879	0	0.001021152	0.00138585	0.000765864	0	0	0	0	0.972355945	0.000255288	0.008971554	0.000364697	0	0.008533917	0.004485777	3.65E-05	0	0	0	0.000145879	0	0	0	0	0	0	0.001531729	27420	13
Betta Splendens	Actinopteri	Actinopteri	0.663859575	0.401760147	-0.00940539	-0.028475802	0	0	1	0	13	79	15	0	0	0	0	22369	7	741	6	0	167	265	0	0	0	0	5	0	0	0	4	1	2441	613	0	0	3.74E-05	0	0.0004864	0.002955812	0.00056123	0	0	0	0	0.836943914	0.000261907	0.027724773	0.000224492	0	0.006248363	0.009915067	0	0	0	0	0.000187077	0	0	0	0.000149661	3.74E-05	0.091330864	0.022935608	26727	15
Bos Grunniens	Mammalia	Livestock animals	0.91491047	0.55369325	0.035909199	0.023983314	0	0	0	0	6	748	25	0	0	0	0	20953	5	185	34	0	767	1265	0	0	1	0	5	2	0	0	8	14	1698	1208	0	0	0	0	0.00022285	0.027781905	0.00092854	0	0	0	0	0.778227604	0.000185708	0.006871193	0.001262814	0	0.028487595	0.046984103	0	0	3.71E-05	0	0.000185708	7.43E-05	0	0	0.000297133	0.000519982	0.063066409	0.044867033	26924	16
Bos Mutus	Mammalia	Mammalia	0.861871867	0.5215949	-0.004552158	0.035428471	0	0	0	0	5	669	384	2	22	0	0	20832	8	339	32	0	756	1196	3	0	1	0	5	4	0	0	0	0	928	586	0	0	0	0	0.000194009	0.025958404	0.014899891	7.76E-05	0.00085364	0	0	0.808319106	0.000310414	0.01315381	0.001241658	0	0.029334161	0.046406953	0.000116405	0	3.88E-05	0	0.000194009	0.000155207	0	0	0	0	0.036008071	0.022737855	25772	17
Bos Taurus	Mammalia	Livestock animals	0.907875987	0.549436062	0.017206719	0.026627531	1	0	0	0	2	951	372	2	22	0	0	21861	8	393	33	0	770	1201	3	0	1	0	5	10	0	0	0	0	1480	492	3.62E-05	0	0	0	7.24E-05	0.034447785	0.013474843	7.24E-05	0.000796899	0	0	0.791864382	0.000289782	0.01423552	0.001195349	0	0.027891477	0.043503459	0.000108668	0	3.62E-05	0	0.000181113	0.000362227	0	0	0	0	0.053609592	0.017821567	27607	18
Callithrix Jacchus	Mammalia	Mammalia	1.491472954	0.902622206	0.287814678	0.048098586	1	0	0	0	71	540	4204	0	0	0	0	21965	4	213	49	0	1501	3083	0	0	3	0	12	26	0	0	16	937	6268	1295	2.49E-05	0	0	0	0.001766697	0.013436847	0.104608341	0	0	0	0	0.546556186	9.95E-05	0.00530009	0.001219269	0	0.037349458	0.076714442	0	0	7.46E-05	0	0.000298597	0.000646959	0	0	0.000398129	0.023315418	0.155966955	0.032223549	40188	17
Camelus Dromedarius	Mammalia	Mammalia	0.624895067	0.378179278	-0.061225147	0.021908598	1	0	0	0	17	197	9	0	0	0	0	19379	4	21	30	0	633	1027	0	0	1	0	5	3	0	0	2	8	445	662	4.46E-05	0	0	0	0.000757441	0.008777402	0.000400998	0	0	0	0	0.86343789	0.000178221	0.000935662	0.00133666	0	0.028203529	0.045758332	0	0	4.46E-05	0	0.000222777	0.000133666	0	0	8.91E-05	0.000356443	0.019827125	0.029495634	22444	17
Canis Lupus Familiaris	Mammalia	Mammalia	1.069434836	0.647209612	0.203320007	-0.057538012	24	0	0	0	29	986	22	0	0	0	0	20500	6	27	28	0	618	1750	0	0	3	0	7	4	0	0	1	27	6479	610	0.000771183	0	0	0	0.000931847	0.031682787	0.000706918	0	0	0	0	0.658719193	0.000192796	0.000867581	0.000899714	0	0.019857974	0.056232126	0	0	9.64E-05	0	0.000224929	0.000128531	0	0	3.21E-05	0.000867581	0.208187398	0.019600913	31121	17
Capra Hircus	Mammalia	Livestock animals	0.878879492	0.531887718	0.043617781	-0.012514897	4	0	0	0	6	314	352	2	22	0	0	21343	8	384	28	0	682	1189	2	0	2	0	0	6	0	0	0	0	2705	222	0.000146676	0	0	0	0.000220014	0.011514063	0.012907484	7.33E-05	0.000806718	0	0	0.782626233	0.000293352	0.014080892	0.001026732	0	0.025008251	0.043599428	7.33E-05	0	7.33E-05	0	0	0.000220014	0	0	0	0	0.099189615	0.008140516	27271	17
Carassius Auratus	Actinopteri	Actinopteri	0.581213618	0.351743769	-0.066940762	-0.004795614	10	0	1	0	126	233	64	2	22	0	0	54560	7	1890	22	0	441	952	0	0	3	0	25	49	0	0	7	3	2799	915	0.00016095	0	1.61E-05	0	0.002027973	0.003750141	0.001030082	3.22E-05	0.000354091	0	0	0.878144566	0.000112665	0.030419597	0.000354091	0	0.007097906	0.015322464	0	0	4.83E-05	0	0.000402376	0.000788656	0	0	0.000112665	4.83E-05	0.045049975	0.014726948	62131	20
Cavia Porcellus	Mammalia	Mammalia	1.212716144	0.733921805	0.143987505	0.042580343	0	0	0	0	0	474	1786	2	22	0	0	18095	20	541	59	0	1624	1354	2	0	0	0	0	0	0	0	0	0	2634	242	0	0	0	0	0	0.017650344	0.066505306	7.45E-05	0.000819214	0	0	0.673803761	0.00074474	0.020145224	0.002196984	0	0.06047291	0.050418916	7.45E-05	0	0	0	0	0	0	0	0	0	0.098082294	0.009011357	26855	13
Cercocebus Atys	Mammalia	Mammalia	1.114119872	0.674252479	0.061994989	0.093179152	23	0	0	0	101	1312	1923	0	0	0	0	20746	7	679	46	0	834	1653	1	0	8	0	0	48	0	0	0	0	538	540	0.00080818	0	0	0	0.003548965	0.046101409	0.067570891	0	0	0	0	0.728978531	0.000245968	0.023858885	0.00161636	0	0.029305316	0.058083559	3.51E-05	0	0.000281106	0	0	0.001686637	0	0	0	0	0.018904389	0.018974665	28459	15
Chinchilla Lanigera	Mammalia	Mammalia	1.194912522	0.723147258	0.261970057	-0.061013259	0	0	0	0	0	462	978	2	22	0	0	17809	15	550	40	0	723	1326	2	0	0	0	0	0	0	0	0	0	7050	282	0	0	0	0	0	0.015788934	0.033423328	6.84E-05	0.000751854	0	0	0.608625816	0.000512628	0.01879635	0.001367007	0	0.024708657	0.045316291	6.84E-05	0	0	0	0	0	0	0	0	0	0.240935033	0.009637401	29261	13
Chlorocebus Sabaeus	Mammalia	Mammalia	1.133192417	0.685794963	0.095338783	0.132657514	0	0	0	0	0	3136	1916	2	22	0	0	19165	0	526	0	0	901	1739	0	0	0	0	0	0	0	0	0	0	3	575	0	0	0	0	0	0.112060032	0.068465249	7.15E-05	0.000786135	0	0	0.68483116	0	0.018795783	0	0	0.032195819	0.062140432	0	0	0	0	0	0	0	0	0	0	0.0001072	0.020546721	27985	10
Ciona Intestinalis	Ascidiacea	Ascidiacea	0.166311776	0.100649966	-0.17216365	-0.012403655	0	0	0	0	0	292	13	2	24	0	0	16671	0	35	0	0	54	35	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0.017023261	0.000757885	0.000116598	0.001399172	0	0	0.971899959	0	0.002040459	0	0	0.003148137	0.002040459	0	0	0	0	0	0	0	0	0	0	0	0.001574069	17153	9
Ciona Savignyi	Ascidiacea	Ascidiacea	0.261440601	0.158220833	-0.15459219	-0.002745124	0	0	0	0	0	62	7	2	24	0	0	11616	0	64	0	0	80	101	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0.005093658	0.00057509	0.000164312	0.001971738	0	0	0.954321393	0	0.005257969	0	0	0.006572461	0.008297733	0	0	0	0	0	0	0	0	0	0	0	0.017745646	12172	9
Coturnix Japonica	Aves	Aves	0.750360536	0.45410953	0.147409553	-0.118949021	0	0	0	0	0	148	121	2	22	0	0	15732	2	26	18	0	196	64	2	0	0	0	0	0	0	0	0	0	5088	140	0	0	0	0	0	0.006864246	0.005611985	9.28E-05	0.001020361	0	0	0.729650758	9.28E-05	0.001205881	0.000834841	0	0.009090487	0.002968322	9.28E-05	0	0	0	0	0	0	0	0	0	0.235981634	0.006493205	21561	13
Cyclopterus Lumpus	Actinopteri	Actinopteri	0.381028661	0.230594145	-0.12822579	0.002393066	0	0	1	0	6	73	5	0	0	0	0	21506	7	530	8	0	327	215	0	0	0	0	0	0	0	0	4	0	231	239	0	0	4.32E-05	0	0.000259157	0.003153075	0.000215964	0	0	0	0	0.92890463	0.00030235	0.022892191	0.000345543	0	0.01412405	0.009286455	0	0	0	0	0	0	0	0	0.000172771	0	0.00997754	0.010323082	23152	13
Cynoglossus Semilaevis	Actinopteri	Actinopteri	0.132692318	0.080303858	-0.179460461	-0.016757143	0	0	0	0	1	64	15	2	22	0	0	21371	2	21	11	0	202	72	1	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	4.58E-05	0.002934299	0.000687726	9.17E-05	0.001008665	0	0	0.979826693	9.17E-05	0.000962817	0.000504333	0	0.009261382	0.003301087	4.58E-05	0	0	0	0	0	0	0	0	0	0	0.001237907	21811	13
Cyprinodon Variegatus	Actinopteri	Actinopteri	0.135439876	0.081966649	-0.179821675	-0.016784729	0	0	0	0	24	64	13	2	22	0	0	22993	4	48	9	0	175	66	1	0	0	0	2	0	0	0	0	0	0	35	0	0	0	0	0.001023105	0.00272828	0.000554182	8.53E-05	0.000937846	0	0	0.980177338	0.000170518	0.00204621	0.000383664	0	0.007460142	0.002813539	4.26E-05	0	0	0	8.53E-05	0	0	0	0	0	0	0.001492028	23458	14
Cyprinus Carpio Carpio	Actinopteri	Actinopteri	0.564366418	0.341548038	-0.05203842	-0.031394767	15	0	0	0	68	314	49	2	22	0	0	46151	8	376	16	0	424	363	0	0	2	0	25	61	0	0	12	2	3753	1114	0.000284215	0	0	0	0.00128844	0.005949561	0.000928435	3.79E-05	0.000416848	0	0	0.874452887	0.000151581	0.007124316	0.000303162	0	0.008033803	0.006877996	0	0	3.79E-05	0	0.000473691	0.001155807	0	0	0.000227372	3.79E-05	0.071110522	0.021107679	52777	19
Danio Rerio	Actinopteri	Actinopteri	0.780822554	0.472544792	0.01241376	-0.009000986	2	0	0	0	0	434	94	2	22	0	0	30153	4	1966	11	0	247	541	4	14	0	2	76	70	0	0	0	0	3274	325	5.37E-05	0	0	0	0	0.011653822	0.0025241	5.37E-05	0.000590747	0	0	0.809672136	0.000107409	0.052791278	0.000295373	0	0.006632475	0.014527	0.000107409	0.00037593	0	5.37E-05	0.002040762	0.001879649	0	0	0	0	0.087913858	0.008726941	37241	18
Dicentrarchus Labrax	Actinopteri	Actinopteri	0.41722504	0.252499776	-0.11120343	-0.015719351	0	0	2	0	33	129	12	0	0	0	0	22969	2	242	8	0	266	387	0	0	0	0	2	0	0	0	7	1	782	127	0	0	8.01E-05	0	0.001321639	0.005166406	0.000480596	0	0	0	0	0.919900677	8.01E-05	0.009692018	0.000320397	0	0.01065321	0.015499219	0	0	0	0	8.01E-05	0	0	0	0.000280348	4.00E-05	0.031318835	0.005086307	24969	15
Drosophila Melanogaster	Insecta	Insecta	1.226707799	0.742389392	0.1731877	0.158159207	0	0	0	0	0	485	0	0	0	2539	262	13968	0	115	0	0	299	32	0	0	0	0	0	0	5578	312	0	0	0	342	0	0	0	0	0	0.020265753	0	0	0	0.106092261	0.010947685	0.583653685	0	0.004805282	0	0	0.012493732	0.001337122	0	0	0	0	0	0	0.233077052	0.013036938	0	0	0	0.01429049	23932	10
Equus Caballus	Mammalia	Livestock animals	0.909604713	0.550482267	0.186839697	-0.101525596	0	0	0	0	18	668	9	2	22	0	0	20912	3	12	20	0	481	540	0	0	10	0	3	12	0	0	2	14	7241	402	0	0	0	0	0.000592671	0.021994666	0.000296335	6.59E-05	0.000724375	0	0	0.688551579	9.88E-05	0.000395114	0.000658523	0	0.015837477	0.017780119	0	0	0.000329261	0	9.88E-05	0.000395114	0	0	6.59E-05	0.000460966	0.238418228	0.013236311	30371	18
Esox Lucius	Actinopteri	Actinopteri	0.822298025	0.497645268	0.004568692	0.066424567	0	0	2	0	60	398	57	2	22	0	0	24854	14	3562	11	0	372	940	0	0	0	0	0	0	0	0	10	2	901	231	0	0	6.36E-05	0	0.001908518	0.012659838	0.001813092	6.36E-05	0.00069979	0	0	0.790571919	0.000445321	0.113302373	0.000349895	0	0.011832814	0.029900121	0	0	0	0	0	0	0	0	0.000318086	6.36E-05	0.028659584	0.007347796	31438	16
Felis Catus	Mammalia	Mammalia	1.005448925	0.608486077	0.209126836	-0.080552417	1	0	0	0	11	221	28	2	22	0	0	19564	7	38	37	0	650	1620	0	0	2	0	3	7	0	0	2	30	6811	494	3.38E-05	0	0	0	0.00037225	0.007478849	0.000947547	6.77E-05	0.000744501	0	0	0.662064298	0.000236887	0.001285956	0.001252115	0	0.021996616	0.054822335	0	0	6.77E-05	0	0.000101523	0.000236887	0	0	6.77E-05	0.001015228	0.230490694	0.016717428	29550	19
Ficedula Albicollis	Aves	Aves	0.497027493	0.300795298	-0.034049509	-0.062808468	0	0	0	0	0	137	2	2	22	0	0	15457	3	3	18	0	186	29	0	0	0	0	0	0	0	0	0	4	1872	63	0	0	0	0	0	0.007697494	0.000112372	0.000112372	0.001236094	0	0	0.868468367	0.000168558	0.000168558	0.00101135	0	0.010450612	0.001629397	0	0	0	0	0	0	0	0	0	0.000224744	0.105180357	0.003539724	17798	13
Fundulus Heteroclitus	Actinopteri	Actinopteri	0.121666897	0.073631401	-0.181778709	-0.017992398	0	0	1	0	8	66	13	2	22	0	0	23054	4	20	11	0	176	57	1	0	0	0	6	0	0	0	0	0	0	28	0	0	4.26E-05	0	0.000340875	0.00281222	0.000553922	8.52E-05	0.000937407	0	0	0.982317099	0.000170438	0.000852188	0.000468703	0	0.007499254	0.002428736	4.26E-05	0	0	0	0.000255656	0	0	0	0	0	0	0.001193063	23469	15
Gadus Morhua	Actinopteri	Actinopteri	0.776792975	0.470106137	0.01521112	-0.014772055	0	0	0	0	3	414	83	0	0	0	0	23510	10	1266	16	0	438	394	0	0	0	0	2	0	0	0	20	1	2697	209	0	0	0	0	0.000103224	0.014244916	0.002855865	0	0	0	0	0.808932319	0.00034408	0.043560541	0.000550528	0	0.015070708	0.013556756	0	0	0	0	6.88E-05	0	0	0	0.00068816	3.44E-05	0.092798403	0.007191274	29063	14
Gallus Gallus	Aves	Livestock animals	0.867012481	0.52470594	0.363990092	-0.191420496	0	0	0	0	0	674	5	2	22	0	0	17007	2	96	15	0	194	82	0	0	0	0	0	0	0	0	2	2	11944	61	0	0	0	0	0	0.022386077	0.000166069	6.64E-05	0.000730703	0	0	0.564866481	6.64E-05	0.003188521	0.000498206	0	0.00644347	0.002723529	0	0	0	0	0	0	0	0	6.64E-05	6.64E-05	0.396705195	0.00202604	30108	14
Gasterosteus Aculeatus	Actinopteri	Actinopteri	0.380004858	0.229974551	-0.12977443	0.012550854	0	0	0	0	0	504	10	2	22	0	0	20787	0	416	0	0	297	366	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0.02244389	0.000445315	8.91E-05	0.000979694	0	0	0.925676879	0	0.018525116	0	0	0.013225864	0.016298539	0	0	0	0	0	0	0	0	0	0	0	0.002315639	22456	9
Haplochromis Burtoni	Actinopteri	Actinopteri	0.205110834	0.124130708	-0.165926719	-0.008872164	0	0	3	0	30	393	16	0	0	0	0	23044	3	119	8	0	207	34	1	0	0	0	2	0	0	0	0	0	0	23	0	0	0.000125612	0	0.001256124	0.016455219	0.000669933	0	0	0	0	0.96487041	0.000125612	0.004982624	0.000334966	0	0.008667253	0.001423607	4.19E-05	0	0	0	8.37E-05	0	0	0	0	0	0	0.000963028	23883	13
Homo Sapiens	Mammalia	Human & Mouse	1.591564283	0.963196323	0.556870666	0.033715005	23	64	24	0	228	1924	2407	2	22	0	0	22895	8	71	51	1	1009	2072	6	1111	8	5	93	160	0	0	1	0	20062	17026	0.000331929	0.000923628	0.00034636	0	0.003290423	0.027766553	0.034737055	2.89E-05	0.000317497	0	0	0.330413323	0.000115453	0.001024649	0.000736016	1.44E-05	0.014561566	0.029902442	8.66E-05	0.016033597	0.000115453	7.22E-05	0.001342146	0.002309069	0	0	1.44E-05	0	0.289528373	0.245713791	69292	24
Ictalurus Punctatus	Actinopteri	Actinopteri	0.302720363	0.183202867	-0.143326809	0.009163924	0	0	1	0	50	56	15	2	22	0	0	23598	5	1024	9	0	168	128	2	0	1	0	1	0	0	0	0	0	0	36	0	0	3.98E-05	0	0.001990604	0.002229477	0.000597181	7.96E-05	0.000875866	0	0	0.939485628	0.00019906	0.040767577	0.000358309	0	0.006688431	0.005095947	7.96E-05	0	3.98E-05	0	3.98E-05	0	0	0	0	0	0	0.001433235	25118	16
Ictidomys Tridecemlineatus	Mammalia	Mammalia	0.987874878	0.597850467	0.104846773	-0.024200744	0	0	0	0	0	459	534	2	22	0	0	18474	10	104	30	0	684	1152	3	0	0	0	0	0	0	0	0	0	3418	309	0	0	0	0	0	0.018213563	0.021189635	7.94E-05	0.000872981	0	0	0.733066148	0.00039681	0.00412682	0.001190429	0	0.02714178	0.045712472	0.000119043	0	0	0	0	0	0	0	0	0	0.135629539	0.012261418	25201	13
Kryptolebias Marmoratus	Actinopteri	Actinopteri	0.123856239	0.074956366	-0.181431553	-0.017812465	0	0	1	0	15	78	12	2	22	0	0	21911	3	21	9	0	168	31	1	0	0	0	3	0	0	0	0	0	0	37	0	0	4.48E-05	0	0.000672224	0.003495563	0.000537779	8.96E-05	0.000985928	0	0	0.981939589	0.000134445	0.000941113	0.000403334	0	0.007528906	0.001389262	4.48E-05	0	0	0	0.000134445	0	0	0	0	0	0	0.001658152	22314	15
Labrus Bergylta	Actinopteri	Actinopteri	0.329737629	0.199553405	-0.141286662	0.008462201	0	0	38	0	85	97	48	0	0	0	0	27270	3	925	13	0	303	260	1	0	0	0	0	0	0	0	0	0	0	44	0	0	0.001306426	0	0.002922268	0.003334823	0.001650222	0	0	0	0	0.937532231	0.000103139	0.031801148	0.000446935	0	0.010417025	0.008938701	3.44E-05	0	0	0	0	0	0	0	0	0	0	0.001512703	29087	12
Larimichthys Crocea	Actinopteri	Actinopteri	0.269353157	0.16300942	-0.156474108	-0.003672757	0	0	5	0	28	124	28	2	22	0	0	22891	13	183	7	0	253	129	0	0	0	0	5	0	0	0	9	1	0	258	0	0	0.000208699	0	0.001168712	0.005175724	0.001168712	8.35E-05	0.000918274	0	0	0.955463728	0.000542616	0.007638367	0.000292178	0	0.010560147	0.005384423	0	0	0	0	0.000208699	0	0	0	0.000375657	4.17E-05	0	0.010768845	23958	16
Lates Calcarifer	Actinopteri	Actinopteri	0.348145208	0.210693459	-0.138564231	0.007323164	0	0	3	0	34	135	22	0	0	0	0	25058	3	410	13	0	268	454	1	0	0	0	14	0	0	0	0	0	0	346	0	0	0.000112103	0	0.001270506	0.005044655	0.000822092	0	0	0	0	0.936362617	0.000112103	0.015320803	0.000485782	0	0.010014573	0.016964986	3.74E-05	0	0	0	0.000523149	0	0	0	0	0	0	0.012929263	26761	13
Leptobrachium Leishanense	Amphibia	Amphibia	0.310862884	0.188130627	-0.140655048	0.004812628	0	0	0	0	0	29	30	0	0	0	0	29203	10	203	18	0	314	296	0	0	0	0	0	0	0	0	9	3	0	941	0	0	0	0	0	0.000933797	0.000965997	0	0	0	0	0.940333591	0.000321999	0.006536579	0.000579598	0	0.010110768	0.00953117	0	0	0	0	0	0	0	0	0.000289799	9.66E-05	0	0.030300103	31056	11
Macaca Fascicularis	Mammalia	Mammalia	1.412916733	0.855080889	0.264021562	0.016610726	4	0	0	0	102	580	3274	2	22	0	0	22323	4	108	43	0	1305	1961	0	0	8	0	20	47	0	0	7	659	6624	1457	0.000103761	0	0	0	0.002645914	0.015045396	0.084928664	5.19E-05	0.000570687	0	0	0.579066148	0.000103761	0.002801556	0.001115435	0	0.03385214	0.050869001	0	0	0.000207523	0	0.000518807	0.001219196	0	0	0.000181582	0.017094682	0.171828794	0.037795071	38550	19
Macaca Mulatta	Mammalia	Mammalia	1.374847756	0.832041984	0.219747487	0.036741329	3	2	0	0	88	626	3419	2	22	0	0	21591	4	145	43	0	1326	1875	0	0	8	0	21	48	0	0	7	666	4769	767	8.47E-05	5.64E-05	0	0	0.002483631	0.017667645	0.096494694	5.64E-05	0.000620908	0	0	0.609364416	0.000112892	0.004092346	0.001213592	0	0.037423798	0.052918266	0	0	0.000225785	0	0.000592685	0.001354708	0	0	0.000197562	0.018796568	0.134595846	0.021647099	35432	20
Macaca Nemestrina	Mammalia	Mammalia	1.133680001	0.686090044	0.068797554	0.093334008	27	0	0	0	105	1306	1997	0	0	0	0	20872	7	697	49	0	832	1700	0	0	9	0	0	47	0	0	0	0	633	584	0.000935389	0	0	0	0.003637623	0.045245107	0.069184133	0	0	0	0	0.723090248	0.000242508	0.024146891	0.001697558	0	0.028823835	0.058894855	0	0	0.000311796	0	0	0.00162827	0	0	0	0	0.021929673	0.020232115	28865	14
Mastacembelus Armatus	Actinopteri	Actinopteri	0.274464357	0.166102659	-0.148947556	-0.017704006	0	0	3	0	45	106	13	0	0	0	0	22310	3	51	9	0	178	103	0	0	0	0	6	0	0	0	4	2	346	210	0	0	0.000128265	0	0.001923981	0.004532045	0.000555817	0	0	0	0	0.953867203	0.000128265	0.002180512	0.000384796	0	0.007610415	0.00440378	0	0	0	0	0.000256531	0	0	0	0.000171021	8.55E-05	0.014793279	0.00897858	23389	15
Meleagris Gallopavo	Aves	Aves	0.454283797	0.274927307	-0.084741342	-0.033583565	0	0	0	0	0	156	4	2	22	0	0	16226	4	52	15	0	202	90	0	0	0	0	0	0	0	0	1	3	1034	159	0	0	0	0	0	0.008681135	0.000222593	0.000111297	0.001224263	0	0	0.90294936	0.000222593	0.002893712	0.000834725	0	0.011240957	0.005008347	0	0	0	0	0	0	0	0	5.56E-05	0.000166945	0.057540345	0.00884808	17970	14
Mesocricetus Auratus	Mammalia	Mammalia	0.802935753	0.485927444	-0.030017496	0.0656923	0	0	0	0	0	772	702	2	22	0	0	18257	23	477	49	0	621	1049	3	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0.034645245	0.031503837	8.98E-05	0.0009873	0	0	0.819324148	0.001032177	0.021406453	0.002198986	0	0.027868779	0.047076246	0.000134632	0	0	0	0	0	0	0	0	0	0	0.013732442	22283	12
